Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-May-2021 16:02:05
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
1.100000e-01     1.919862e-05     1.100000e-01     1.000000e-02     1.446362e-07     9.496601e-11     -1.656348e+04    7.483828e-11     1.567155e+04     7.525152e-12     1.750641e+04     4.367686e-12     -2.123791e-13    8.358645e-13     -7.725024e-14    7.710444e-14     1.348389e-15     -7.853283e-17    1.161918e-13     -1.619540e-14    6.005136e-13     -6.117805e-14    -2.533611e-13    -1.439738e-13    -1.750641e+04    -9.657381e-13    -1.567155e+04    -1.066489e-12    1.656348e+04     -7.277760e-11    -1.446358e-07    -9.560641e-11    
1.200000e-01     2.094395e-05     1.200000e-01     1.000000e-02     -3.707767e-11    1.670865e-07     1.656348e+04     5.825665e-11     1.750642e+04     2.319306e-11     -1.750642e+04    7.025149e-12     -6.029390e-13    7.934907e-13     1.758815e-13     2.470345e-13     -1.225793e-15    2.952347e-14     -1.073007e-15    -8.119344e-16    7.847999e-13     -6.735502e-14    -1.329267e-13    -1.700708e-13    1.567156e+04     -7.974935e-12    -1.567156e+04    -2.537422e-11    -1.656348e+04    -5.638178e-11    -1.461531e-01    -4.257531e-08    
1.300000e-01     2.268928e-05     1.300000e-01     1.000000e-02     3.047742e-10     9.303906e-08     -1.656348e+04    1.156301e-10     1.750643e+04     3.584364e-11     1.567157e+04     1.104982e-11     -1.627276e-14    1.020725e-13     1.324628e-12     8.820152e-14     6.177383e-14     8.335497e-14     1.093367e-15     1.132177e-16     -5.880851e-14    -5.719721e-14    1.566500e-13     -9.180818e-14    -1.750643e+04    -2.579793e-12    -1.567157e+04    -3.417359e-11    1.656348e+04     -1.146786e-10    1.590451e-01     -2.512848e-08    
1.400000e-01     2.443461e-05     1.400000e-01     1.000000e-02     -3.155190e-10    1.912122e-07     -1.720476e-01    1.378760e-08     1.720476e-01     1.378523e-08     1.656348e+04     3.519850e-10     1.567159e+04     7.321090e-12     1.750644e+04     2.685849e-12     -5.948580e-13    7.799566e-13     7.555908e-13     3.936612e-13     5.465406e-14     4.035203e-14     6.676138e-16     1.214127e-15     1.622156e-14     -4.503839e-14    4.755121e-13     -4.681983e-13    -1.567159e+04    -6.512243e-12    -1.750644e+04    -7.012265e-12    
1.500000e-01     2.617994e-05     1.500000e-01     1.000000e-02     4.960295e-11     2.251948e-07     1.851607e-01     8.058656e-08     -1.851607e-01    8.057826e-08     -1.656348e+04    8.337104e-11     -1.750645e+04    1.100734e-11     -1.567160e+04    8.966651e-12     3.685920e-14     1.341113e-13     1.733276e-15     1.277379e-14     -1.260342e-15    -2.016664e-16    -5.034250e-14    -7.105887e-14    -1.950620e-13    -1.951075e-13    -1.690762e-12    -1.315716e-12    1.750645e+04     -1.733261e-11    1.567160e+04     -1.949025e-11    
1.600000e-01     2.792527e-05     1.600000e-01     1.000000e-02     -7.083665e-11    2.290477e-07     -1.983846e-01    1.804468e-07     1.983846e-01     1.804467e-07     1.656348e+04     9.410893e-11     1.567162e+04     8.937645e-13     -4.101532e-13    2.567171e-13     -5.446819e-16    1.645608e-15     -1.800134e-14    -2.450423e-15    5.233641e-14     -5.376664e-15    2.913601e-13     -1.583509e-13    -1.567162e+04    -4.075960e-13    2.064007e-15     -6.567459e-13    -1.750646e+04    -2.558216e-12    1.750646e+04     -2.974329e-12    
1.700000e-01     2.967060e-05     1.700000e-01     1.000000e-02     2.117196e-01     3.165994e-07     -2.117196e-01    3.165925e-07     -3.217764e-12    2.460706e-07     -1.656348e+04    8.460123e-11     1.750648e+04     1.050668e-11     -6.298062e-14    4.689577e-14     1.432602e-13     2.490142e-14     9.073480e-16     -1.268115e-16    3.792030e-13     -6.947400e-14    -1.735341e-14    -1.192163e-13    2.276793e-13     -1.456317e-12    -1.750648e+04    -4.522136e-12    1.567163e+04     -4.853900e-12    -1.567163e+04    -9.933101e-12    
1.800000e-01     3.141593e-05     1.800000e-01     1.000000e-02     -2.251659e-01    4.892589e-07     2.251659e-01     4.892563e-07     1.685419e-07     1.490983e-07     -1.656348e+04    3.679894e-10     -1.750649e+04    1.814943e-11     -1.567165e+04    9.974941e-12     1.407282e-13     3.998105e-13     -3.424738e-16    6.001471e-16     1.667492e-13     -2.428764e-14    -6.157440e-13    -6.309614e-14    -3.037267e-14    -1.752049e-13    -7.891210e-14    -3.187464e-13    1.750649e+04     -8.098840e-12    1.567165e+04     -1.817035e-11    
1.900000e-01     3.316126e-05     1.900000e-01     1.000000e-02     1.996847e-01     9.927499e-07     -1.996847e-01    9.927439e-07     2.387238e-01     6.952298e-07     -2.387238e-01    6.952278e-07     -1.656348e+04    2.962518e-10     -1.805779e-07    6.182350e-11     1.750651e+04     3.697142e-11     1.567167e+04     1.136991e-12     -1.386985e-13    1.145737e-13     1.660472e-13     6.378428e-14     -1.645801e-16    -1.580317e-15    1.470871e-13     -6.071540e-14    -1.478378e-13    -6.106131e-14    1.838783e-12     -1.919770e-13    
2.000000e-01     3.490658e-05     2.000000e-01     1.000000e-02     -2.091603e-01    2.686502e-06     2.091603e-01     2.686494e-06     2.523934e-01     9.274567e-07     -2.523934e-01    9.274473e-07     -4.230692e-12    3.590155e-07     1.656348e+04     8.315037e-12     -1.567169e+04    5.787435e-12     -1.750652e+04    1.473996e-12     -2.356514e-12    5.701354e-13     -2.944229e-14    1.008668e-13     7.050767e-14     6.763763e-14     2.054594e-15     8.552876e-16     -3.653993e-13    -6.204085e-14    -1.865348e-14    -9.865759e-14    
