k, Re(omega1), Im(omega1), Re(omega2), Im(omega2), ... [by BO]
+1.20100e+01 	+1.87600e+04 	-1.21182e-11 	+1.79024e+04 	+3.23114e-11 	+1.68526e+04 	-2.17964e-11 	+6.79955e+01 	+7.73606e-13 	+9.81411e-01 	-5.69198e-06 	
+1.25100e+01 	+1.88021e+04 	-1.04575e-11 	+1.79495e+04 	-4.58857e-11 	+1.68752e+04 	-1.47682e-11 	+7.32235e+01 	+1.84994e-12 	+9.82466e-01 	-2.57074e-05 	
+1.30100e+01 	+1.88464e+04 	-4.97049e-12 	+1.79988e+04 	-1.69245e-10 	+1.68974e+04 	+1.45176e-12 	+7.85962e+01 	-6.95669e-12 	+9.83343e-01 	-7.55213e-05 	
+1.35100e+01 	+1.88930e+04 	+6.90057e-14 	+1.80505e+04 	+5.34085e-11 	+1.69192e+04 	+1.00083e-11 	+8.41071e+01 	-1.02501e-12 	+9.84072e-01 	-1.67283e-04 	
+1.40100e+01 	+1.89418e+04 	+7.09327e-12 	+1.81046e+04 	+4.81207e-11 	+1.69405e+04 	+1.30291e-11 	+8.97492e+01 	+2.06950e-12 	+9.84681e-01 	-3.05689e-04 	
+1.45100e+01 	+1.89929e+04 	-5.13970e-13 	+1.81610e+04 	+1.16263e-10 	+1.69612e+04 	+5.73877e-12 	+9.55158e+01 	+2.53632e-13 	+9.85195e-01 	-4.89336e-04 	
+1.50100e+01 	+1.90462e+04 	+4.10124e-13 	+1.82199e+04 	+5.84943e-11 	+1.69812e+04 	+6.05377e-12 	+1.01400e+02 	-5.06284e-12 	+9.85634e-01 	-7.13889e-04 	
+1.55100e+01 	+1.91018e+04 	-5.49425e-13 	+1.82811e+04 	+7.50816e-12 	+1.70006e+04 	+5.36207e-12 	+1.07395e+02 	-9.79827e-13 	+9.86012e-01 	-9.74250e-04 	
+1.60100e+01 	+1.91597e+04 	+5.25739e-12 	+1.83447e+04 	-8.88562e-11 	+1.70193e+04 	+5.31173e-12 	+1.13495e+02 	+1.30994e-13 	+9.86340e-01 	-1.26557e-03 	
+1.65100e+01 	+1.92198e+04 	+1.12768e-12 	+1.84107e+04 	+9.38849e-11 	+1.70372e+04 	+3.63357e-12 	+1.19692e+02 	-4.71603e-12 	+9.86625e-01 	-1.58361e-03 	
+1.70100e+01 	+1.92821e+04 	+1.22031e-12 	+1.84790e+04 	-4.30308e-12 	+1.70544e+04 	-1.38855e-11 	+1.25980e+02 	-2.62262e-12 	+9.86874e-01 	-1.92474e-03 	
+1.75100e+01 	+1.93467e+04 	-3.87205e-12 	+1.85496e+04 	+1.15701e-11 	+1.70709e+04 	-1.05790e-11 	+1.32352e+02 	+1.16449e-12 	+9.87092e-01 	-2.28593e-03 	
+1.80100e+01 	+1.94134e+04 	-1.32209e-11 	+1.86226e+04 	-3.94571e-11 	+1.70867e+04 	-1.61313e-11 	+1.38802e+02 	-8.54007e-13 	+9.87282e-01 	-2.66461e-03 	
+1.85100e+01 	+1.94822e+04 	-1.21773e-11 	+1.86978e+04 	-3.65813e-11 	+1.71017e+04 	-3.32175e-13 	+1.45323e+02 	+2.48317e-12 	+9.87449e-01 	-3.05862e-03 	
