Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 14:48:42
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
9.526279e-02     5.500000e-02     1.100000e-01     3.000000e+01     -1.848603e-12    2.394975e-12     -4.843995e-14    3.043635e-13     -6.022971e-16    4.083502e-15     3.813519e-17     1.091054e-17     -2.500956e-13    -2.235858e-13    -1.147192e-13    -4.735380e-13    -3.443857e+04    -2.946481e-11    -3.627343e+04    -3.479878e-11    3.443857e+04     -3.507229e-11    3.627343e+04     -4.004833e-11    3.356025e-05     -6.465854e-09    -3.356025e-05    -6.468145e-09    9.637230e-02     -5.118205e-05    -9.637230e-02    -5.118205e-05    
1.039230e-01     6.000000e-02     1.200000e-01     3.000000e+01     6.257766e-13     2.182639e-12     7.621015e-14     4.025010e-14     -3.432773e-17    1.423124e-17     -2.394559e-15    -1.195772e-16    -4.873955e-13    -4.879400e-15    3.666769e-13     -2.075883e-13    -3.627345e+04    -4.588831e-11    3.627345e+04     -4.921432e-11    -3.443859e+04    -5.849914e-11    3.443859e+04     -6.164818e-11    3.993990e-05     -8.395389e-09    -3.993990e-05    -8.397117e-09    1.048116e-01     -6.427219e-05    -1.048116e-01    -6.427219e-05    
1.125833e-01     6.500000e-02     1.300000e-01     3.000000e+01     1.720947e-12     4.809279e-12     -2.287898e-13    1.495724e-13     -5.293240e-17    8.118513e-17     -4.681057e-15    -5.853915e-15    -2.805421e-13    -6.111135e-14    6.631095e-13     -1.457329e-13    -3.627347e+04    -6.309254e-11    3.627347e+04     -7.368081e-11    -3.443861e+04    -8.638998e-11    3.443861e+04     -9.858941e-11    4.687447e-05     -1.067475e-08    -4.687447e-05    -1.067609e-08    1.131761e-01     -7.877206e-05    -1.131761e-01    -7.877206e-05    
1.212436e-01     7.000000e-02     1.400000e-01     3.000000e+01     2.008453e-13     8.249412e-14     3.246731e-14     1.310462e-14     -1.298797e-17    -3.524946e-17    -9.029577e-15    -2.430285e-15    -1.217330e-13    -1.463794e-13    -1.424144e-12    -4.301756e-12    3.627349e+04     -9.928534e-11    -3.627349e+04    -9.932902e-11    3.443864e+04     -1.317705e-10    -3.443864e+04    -1.335062e-10    5.436398e-05     -1.333141e-08    -5.436398e-05    -1.333555e-08    1.214626e-01     -9.448850e-05    -1.214626e-01    -9.448850e-05    
1.299038e-01     7.500000e-02     1.500000e-01     3.000000e+01     -1.368861e-13    1.671553e-12     1.060995e-12     1.919120e-13     1.149243e-15     3.253538e-16     -1.574170e-17    9.758133e-17     -1.911533e-13    -1.681068e-13    1.338162e-13     -1.973382e-13    3.627352e+04     -1.409312e-10    -3.627352e+04    -1.437099e-10    3.443866e+04     -1.851372e-10    -3.443866e+04    -1.879457e-10    -6.240849e-05    -1.639952e-08    6.240849e-05     -1.640103e-08    -1.296682e-01    -1.111588e-04    1.296682e-01     -1.111588e-04    
1.385641e-01     8.000000e-02     1.600000e-01     3.000000e+01     -2.015599e-13    1.655373e-12     9.429016e-14     9.512115e-15     -5.279496e-15    1.575749e-15     5.370539e-17     1.512862e-18     -2.643522e-13    -3.314118e-13    6.962423e-13     -1.976504e-12    3.627354e+04     -1.957734e-10    -3.627354e+04    -2.023506e-10    3.443869e+04     -2.503350e-10    -3.443869e+04    -2.563398e-10    7.100801e-05     -1.990089e-08    -7.100801e-05    -1.990715e-08    1.377902e-01     -1.284463e-04    -1.377902e-01    -1.284463e-04    
1.472243e-01     8.500000e-02     1.700000e-01     3.000000e+01     2.547531e-12     2.120413e-12     7.682824e-17     -3.490023e-17    -9.430921e-14    -3.859903e-15    1.231110e-14     -2.508938e-14    8.026852e-14     -4.161634e-14    -4.101914e-13    -2.126643e-12    3.627357e+04     -2.702494e-10    -3.627357e+04    -2.706601e-10    -3.443872e+04    -3.433422e-10    3.443872e+04     -3.440225e-10    8.016261e-05     -2.387449e-08    -8.016261e-05    -2.387621e-08    1.458262e-01     -1.459368e-04    -1.458262e-01    -1.459368e-04    
1.558846e-01     9.000000e-02     1.800000e-01     3.000000e+01     3.229593e-14     2.589258e-13     1.745319e-14     1.522463e-13     -5.956142e-15    2.060922e-14     2.815688e-17     1.173676e-16     -3.937212e-13    -4.361831e-13    -8.020575e-13    -2.865619e-12    -3.627360e+04    -3.589479e-10    3.627360e+04     -3.626919e-10    -3.443875e+04    -4.518943e-10    3.443875e+04     -4.561042e-10    -8.987234e-05    -2.833960e-08    8.987234e-05     -2.834312e-08    1.537739e-01     -1.631368e-04    -1.537739e-01    -1.631368e-04    
1.645448e-01     9.500000e-02     1.900000e-01     3.000000e+01     -1.541562e-12    1.426937e-12     -1.771319e-14    7.136642e-14     2.055887e-17     -4.359086e-17    -5.083344e-15    -5.180840e-15    -1.863106e-13    -1.122268e-13    1.110929e-12     -2.807056e-12    -3.627363e+04    -4.605539e-10    3.627363e+04     -4.687414e-10    -3.443878e+04    -5.990997e-10    3.443878e+04     -6.081914e-10    1.001373e-04     -3.333213e-08    -1.001373e-04    -3.333551e-08    1.616311e-01     -1.794737e-04    -1.616311e-01    -1.794737e-04    
1.732051e-01     1.000000e-01     2.000000e-01     3.000000e+01     -2.704377e-12    6.976141e-14     -7.994542e-15    1.518072e-15     -2.015773e-18    1.025899e-17     9.047752e-14     -9.085181e-14    -4.118634e-14    -9.695942e-14    3.527904e-12     -1.179893e-12    -3.627366e+04    -6.008462e-10    3.627366e+04     -6.063051e-10    -3.443882e+04    -7.720213e-10    3.443882e+04     -7.782646e-10    1.109574e-04     -3.887916e-08    -1.109574e-04    -3.888198e-08    1.693959e-01     -1.942996e-04    -1.693959e-01    -1.942996e-04    
1.818653e-01     1.050000e-01     2.100000e-01     3.000000e+01     -5.637721e-14    2.975692e-13     6.105877e-14     4.635323e-14     1.399049e-16     6.199153e-17     3.885801e-16     -3.169755e-16    -3.859132e-13    -5.535878e-13    3.263907e-12     -1.722320e-12    -3.627369e+04    -7.668694e-10    3.627369e+04     -7.673170e-10    -3.443886e+04    -9.934071e-10    3.443886e+04     -9.950693e-10    -1.223328e-04    -4.501032e-08    1.223328e-04     -4.501285e-08    -1.770661e-01    -2.068990e-04    1.770661e-01     -2.068990e-04    
1.905256e-01     1.100000e-01     2.200000e-01     3.000000e+01     -1.236571e-13    5.711425e-13     -2.597778e-14    4.522009e-14     -2.928669e-15    3.629174e-15     -2.392195e-17    8.488130e-18     6.935408e-14     -9.217377e-14    -1.201540e-12    -9.285701e-12    -3.627372e+04    -9.684427e-10    3.627372e+04     -9.719130e-10    -3.443889e+04    -1.248397e-09    3.443889e+04     -1.253592e-09    1.342636e-04     -5.175314e-08    -1.342636e-04    -5.175339e-08    -1.846396e-01    -2.165023e-04    1.846396e-01     -2.165023e-04    
1.991858e-01     1.150000e-01     2.300000e-01     3.000000e+01     9.822308e-13     2.264111e-12     -6.628842e-14    1.895990e-13     1.751249e-18     -6.612523e-18    1.764191e-15     -8.885864e-16    -5.837590e-14    -8.328327e-14    -1.130833e-12    -3.115131e-12    3.627376e+04     -1.204863e-09    -3.627376e+04    -1.206295e-09    3.443893e+04     -1.569284e-09    -3.443893e+04    -1.569901e-09    1.467499e-04     -5.913683e-08    -1.467499e-04    -5.913999e-08    1.921143e-01     -2.223044e-04    -1.921143e-01    -2.223044e-04    
2.078461e-01     1.200000e-01     2.400000e-01     3.000000e+01     -1.538557e-12    5.062824e-13     -5.032349e-14    1.736530e-14     6.742854e-17     -1.833982e-17    8.692609e-15     -9.877960e-15    -1.366280e-13    -4.462716e-13    2.078430e-12     -2.661447e-12    -3.627380e+04    -1.490608e-09    3.627380e+04     -1.491760e-09    -3.443898e+04    -1.939797e-09    3.443898e+04     -1.941957e-09    -1.597916e-04    -6.719398e-08    1.597916e-04     -6.719659e-08    1.994876e-01     -2.234926e-04    -1.994876e-01    -2.234926e-04    
2.165064e-01     1.250000e-01     2.500000e-01     3.000000e+01     1.345237e-12     4.950753e-12     2.746301e-14     1.824839e-13     5.765472e-18     2.004701e-17     -6.240457e-15    -3.764321e-15    -5.011699e-14    -5.740818e-14    6.835493e-13     -2.511134e-13    3.627384e+04     -1.831202e-09    -3.627384e+04    -1.834280e-09    3.443902e+04     -2.377535e-09    -3.443902e+04    -2.379681e-09    1.733888e-04     -7.594850e-08    -1.733888e-04    -7.595570e-08    2.067572e-01     -2.192814e-04    -2.067572e-01    -2.192814e-04    
2.251666e-01     1.300000e-01     2.600000e-01     3.000000e+01     2.694909e-13     5.034174e-13     2.040307e-14     1.321458e-14     -2.324771e-14    5.423251e-15     -2.050266e-17    -7.390896e-17    -5.793180e-13    -3.173676e-13    -5.910542e-12    -3.766781e-12    -3.627388e+04    -2.224905e-09    3.627388e+04     -2.232996e-09    -3.443906e+04    -2.888021e-09    3.443906e+04     -2.895716e-09    1.875417e-04     -8.543663e-08    -1.875417e-04    -8.544091e-08    2.139202e-01     -2.089577e-04    -2.139202e-01    -2.089577e-04    
2.338269e-01     1.350000e-01     2.700000e-01     3.000000e+01     1.043543e-14     3.517560e-15     1.086024e-18     -7.311206e-18    -5.350966e-15    -4.896481e-14    4.806776e-13     -6.111432e-14    -1.288522e-12    -3.588232e-13    -3.171503e-12    -2.103876e-12    3.627392e+04     -2.691055e-09    -3.627392e+04    -2.697196e-09    3.443911e+04     -3.486837e-09    -3.443911e+04    -3.491890e-09    -2.022503e-04    -9.568485e-08    2.022503e-04     -9.568844e-08    2.209734e-01     -1.919361e-04    -2.209734e-01    -1.919361e-04    
