Below are the first nkwall=min(nw,4*S+6)=14 solutions from BO, sorted by imag part, at 26-Dec-2020 15:07:52
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  
8.660254e-03     5.000000e-03     1.000000e-02     3.000000e+01     -1.722138e-11    7.330278e-09     -3.627334e+04    4.961574e-12     -3.443847e+04    1.558760e-12     9.320734e-14     4.244070e-13     3.404968e-16     7.180897e-18     1.469792e-16     -6.825378e-17    -1.072715e-13    -1.965272e-14    1.726572e-13     -3.087858e-14    5.347768e-16     -4.754019e-14    3.627334e+04     -4.818450e-13    3.443847e+04     -5.376212e-12    1.560507e-11     -7.330312e-09    -8.656617e-03    -4.725208e-08    8.656617e-03     -4.725272e-08    
1.732051e-02     1.000000e-02     2.000000e-02     3.000000e+01     -2.658734e-13    1.441927e-08     3.627334e+04     2.632206e-12     -3.627334e+04    1.670985e-12     3.090591e-14     3.508048e-13     3.443847e+04     1.456965e-13     -7.154252e-14    9.557754e-14     1.553751e-16     3.634509e-17     -1.559265e-17    -1.142218e-16    2.907283e-14     -4.881226e-14    -2.357462e-14    -4.156980e-13    -3.443847e+04    -1.252561e-12    1.854086e-13     -1.441946e-08    1.730561e-02     -3.764446e-07    -1.730561e-02    -3.764450e-07    
2.598076e-02     1.500000e-02     3.000000e-02     3.000000e+01     3.261382e-11     1.968374e-08     -3.443847e+04    8.777821e-12     3.443847e+04     2.494121e-12     5.002223e-13     8.945109e-13     -1.214611e-12    5.834373e-13     2.770281e-14     7.310604e-14     4.539935e-16     9.515920e-17     1.066072e-16     -4.532597e-17    -4.923857e-14    -5.762368e-13    -3.627335e+04    -1.551055e-12    3.627335e+04     -8.197000e-12    -3.300514e-11    -1.968505e-08    2.593946e-02     -1.261713e-06    -2.593946e-02    -1.261713e-06    
3.464102e-02     2.000000e-02     4.000000e-02     3.000000e+01     1.563456e-12     1.743028e-08     3.627335e+04     5.397301e-12     3.443848e+04     1.977941e-12     3.093566e-15     4.479565e-15     1.596179e-16     1.001196e-16     -9.005772e-18    -1.922768e-15    -1.359630e-13    -1.465396e-13    3.923220e-13     -4.389168e-13    -8.798442e-13    -4.438783e-13    -3.627335e+04    -3.676725e-12    -3.443848e+04    -5.785344e-12    -3.132123e-13    -1.742957e-08    -3.455084e-02    -2.961879e-06    3.455084e-02     -2.961883e-06    
4.330127e-02     2.500000e-02     5.000000e-02     3.000000e+01     2.801660e-08     1.998149e-11     -3.627336e+04    2.204488e-12     -3.443849e+04    1.637837e-12     -7.459263e-13    4.562706e-13     -8.437924e-14    4.667937e-14     -2.680078e-16    3.692171e-17     2.161889e-16     -1.233526e-16    3.620504e-13     -1.559683e-13    4.331170e-13     -1.130099e-12    3.627336e+04     -2.944881e-12    3.443849e+04     -4.605283e-12    -2.801676e-08    -1.960368e-11    4.313273e-02     -5.713605e-06    -4.313273e-02    -5.713607e-06    
5.196152e-02     3.000000e-02     6.000000e-02     3.000000e+01     -6.663774e-08    8.526006e-12     -3.627337e+04    2.243437e-12     4.369176e-13     1.372659e-12     3.794459e-13     2.123321e-13     4.028750e-14     1.448094e-14     9.403744e-17     8.460829e-16     3.337081e-16     4.891409e-17     -3.922924e-13    -3.283759e-13    3.627337e+04     -9.345260e-13    -3.443850e+04    -3.295416e-12    3.443850e+04     -6.156709e-12    6.663765e-08     -8.826061e-12    -5.167843e-02    -9.725230e-06    5.167843e-02     -9.725233e-06    
6.062178e-02     3.500000e-02     7.000000e-02     3.000000e+01     -1.160631e-07    2.505833e-12     -3.627338e+04    1.130900e-12     1.288019e-12     7.408874e-13     3.627338e+04     4.918580e-13     -3.272884e-17    -5.191479e-17    2.346315e-16     -8.914934e-17    -6.587785e-14    -2.461763e-14    2.484537e-13     -9.064696e-14    -6.432916e-13    -3.551214e-13    1.160631e-07     -2.825270e-12    -3.443851e+04    -8.829638e-12    3.443851e+04     -9.194554e-12    -6.018167e-02    -1.517141e-05    6.018167e-02     -1.517141e-05    
6.928203e-02     4.000000e-02     8.000000e-02     3.000000e+01     -1.801459e-07    1.005176e-12     3.672558e-13     2.179184e-13     -5.141464e-13    1.598863e-13     -2.769667e-13    1.550517e-13     -3.312173e-14    1.476973e-14     -2.350439e-17    -1.162394e-16    2.070064e-15     -3.241679e-16    3.627339e+04     -1.135660e-12    1.801460e-07     -1.546993e-12    3.443852e+04     -6.001322e-12    -3.627339e+04    -8.929717e-12    -3.443852e+04    -1.429551e-11    6.863664e-02     -2.218834e-05    -6.863664e-02    -2.218835e-05    
7.794229e-02     4.500000e-02     9.000000e-02     3.000000e+01     2.616628e-07     1.299472e-11     -3.131505e-14    5.951286e-13     9.661079e-13     3.916265e-13     -1.005828e-13    8.852277e-14     4.068521e-17     8.450327e-17     -1.417232e-16    -1.537083e-16    -3.967719e-13    -5.619790e-13    3.627340e+04     -7.380814e-12    -3.627340e+04    -1.075583e-11    -2.616628e-07    -1.396963e-11    3.443854e+04     -1.713862e-11    -3.443854e+04    -1.873493e-11    -7.703798e-02    -3.086946e-05    7.703798e-02     -3.086946e-05    
8.660254e-02     5.000000e-02     1.000000e-01     3.000000e+01     1.824994e-13     9.009763e-13     3.628022e-07     5.229994e-13     -2.931548e-14    1.795915e-15     -3.104037e-17    2.209625e-17     -1.479707e-15    -4.781754e-16    -7.780708e-13    -3.769879e-13    2.340721e-14     -9.848600e-13    -3.628022e-07    -2.171516e-12    3.627342e+04     -1.744725e-11    3.443855e+04     -2.150191e-11    -3.627342e+04    -2.215248e-11    -3.443855e+04    -2.591796e-11    -8.538078e-02    -4.126136e-05    8.538078e-02     -4.126136e-05    
