Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:24:40
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
2.954423e-01     5.209445e-02     3.000000e-01     1.000000e+01     2.860826e-01     3.201890e-01     2.265981e-02     1.163538e-01     -6.831252e-01    6.233189e-13     7.283196e-01     3.565217e-13     -3.273068e-01    2.450214e-13     -5.093614e-01    1.045409e-13     -1.264676e-01    2.877800e-14     -2.855036e+04    2.188833e-14     -3.038521e+04    1.271465e-15     3.038522e+04     8.645720e-16     1.016748e-03     6.621508e-16     -2.945289e+04    8.721760e-17     -1.016748e-03    7.545435e-18     2.945296e+04     -1.595533e-16    3.902975e-14     -4.186329e-16    7.150901e-15     -1.094072e-15    2.855037e+04     -2.369530e-14    5.511407e-01     -6.045222e-14    2.441418e-01     -2.315806e-13    1.434060e+00     -6.218045e-13    2.265981e-02     -1.163538e-01    2.860826e-01     -3.201890e-01    
3.200625e-01     5.643566e-02     3.250000e-01     1.000000e+01     3.148171e-01     3.292106e-01     2.292502e-02     1.227456e-01     7.736249e-01     9.195695e-13     5.536908e-01     1.044140e-13     -2.855047e+04    9.401301e-14     3.038532e+04     5.299575e-14     2.613317e-01     4.401455e-14     -5.013168e-01    9.966366e-15     -2.945289e+04    1.159907e-15     1.101478e-03     6.566507e-17     -1.101478e-03    -2.718544e-16    2.767679e-13     -8.522276e-16    2.945297e+04     -1.092756e-15    8.364650e-15     -1.485833e-15    1.471579e+00     -2.050135e-14    -3.038530e+04    -5.348496e-14    2.855048e+04     -9.311151e-14    -3.474887e-01    -1.654073e-13    -1.259500e-01    -2.016488e-13    -6.713294e-01    -2.308909e-13    2.292502e-02     -1.227456e-01    3.148171e-01     -3.292106e-01    
3.446827e-01     6.077686e-02     3.500000e-01     1.000000e+01     3.440824e-01     3.378866e-01     2.323789e-02     1.285509e-01     8.191346e-01     6.489049e-13     -3.685488e-01    2.418580e-13     -4.930947e-01    6.301269e-14     3.038542e+04     5.894385e-14     -6.621867e-01    5.211462e-14     -2.855058e+04    4.122455e-14     2.777506e-01     2.895395e-14     5.561444e-01     1.843821e-14     -2.000296e-14    3.583432e-15     2.945297e+04     1.160421e-15     1.186208e-03     -2.367983e-16    -1.186208e-03    -4.995511e-16    4.558972e-13     -6.676660e-16    -2.945289e+04    -1.123687e-15    2.855059e+04     -3.975857e-14    -3.038540e+04    -6.008684e-14    -1.226841e-01    -1.764010e-13    1.509210e+00     -1.852732e-13    2.323789e-02     -1.285509e-01    3.440824e-01     -3.378866e-01    
3.693029e-01     6.511807e-02     3.750000e-01     1.000000e+01     3.738407e-01     3.462845e-01     2.365325e-02     1.337724e-01     8.647454e-01     1.250229e-13     3.038553e+04     5.737664e-14     -2.855070e+04    5.660958e-14     2.933469e-01     4.989072e-14     -3.904764e-01    3.250934e-14     5.587128e-01     3.195448e-14     -4.851789e-01    1.470016e-14     -2.945289e+04    8.272633e-16     -1.270937e-03    -2.017983e-16    -8.705225e-16    -7.045006e-16    2.945298e+04     -7.214156e-16    1.270937e-03     -9.130587e-16    6.052646e-13     -1.819618e-15    -6.553709e-01    -5.120017e-14    2.855071e+04     -5.570610e-14    -3.038551e+04    -5.741178e-14    1.546942e+00     -9.956248e-14    -1.166017e-01    -1.273475e-13    2.365325e-02     -1.337724e-01    3.738407e-01     -3.462845e-01    
3.939231e-01     6.945927e-02     4.000000e-01     1.000000e+01     4.040613e-01     3.544543e-01     2.421187e-02     1.383952e-01     -1.077195e-01    6.783603e-13     -4.131908e-01    2.326580e-13     -6.505152e-01    1.443918e-13     1.584762e+00     1.337533e-13     -2.855083e+04    3.940761e-14     3.038564e+04     2.969738e-14     -1.540924e-15    1.108441e-15     2.945299e+04     1.949565e-16     1.355667e-03     1.280041e-16     -2.945289e+04    -2.300690e-16    -1.355667e-03    -8.677986e-16    5.994819e-13     -2.473294e-15    -4.780608e-01    -2.841599e-14    3.080776e-01     -2.904457e-14    -3.038563e+04    -2.999590e-14    2.855084e+04     -3.923991e-14    5.615224e-01     -6.061376e-14    9.104247e-01     -1.040820e-13    2.421187e-02     -1.383952e-01    4.040613e-01     -3.544543e-01    
4.185433e-01     7.380048e-02     4.250000e-01     1.000000e+01     4.347204e-01     3.624319e-01     2.493405e-02     1.423805e-01     -2.855097e+04    1.270942e-13     -4.723811e-01    1.128471e-13     3.038577e+04     9.745752e-14     5.646529e-01     9.669571e-14     -7.608566e-14    1.445692e-14     -1.440396e-03    8.683625e-16     2.945299e+04     7.741854e-17     -2.945289e+04    -5.870527e-16    1.440396e-03     -1.365622e-15    3.590826e-13     -3.536399e-15    -6.472698e-01    -1.708283e-14    3.219113e-01     -2.030640e-14    -3.038575e+04    -9.819832e-14    2.855098e+04     -1.268023e-13    1.622664e+00     -2.632427e-13    -4.363389e-01    -6.445859e-13    -9.612767e-02    -9.136848e-13    9.561685e-01     -1.840457e-12    2.493405e-02     -1.423805e-01    4.347204e-01     -3.624319e-01    
4.431635e-01     7.814168e-02     4.500000e-01     1.000000e+01     4.658009e-01     3.702429e-01     2.580710e-02     1.456610e-01     1.660637e+00     1.469909e-12     -2.855112e+04    5.840707e-14     3.038590e+04     9.696110e-15     3.508102e-13     3.180579e-15     1.001984e+00     2.087127e-15     -2.945289e+04    2.544088e-16     1.525125e-03     -2.785993e-17    2.945300e+04     -1.121837e-16    -1.525124e-03    -1.974401e-15    -3.038588e+04    -8.528200e-15    7.838825e-14     -2.102004e-14    5.681507e-01     -4.116812e-14    2.855113e+04     -5.954428e-14    -6.453322e-01    -1.741632e-13    3.348295e-01     -1.992632e-13    -4.717516e-01    -2.175047e-13    -4.564525e-01    -2.829368e-13    -8.195289e-02    -2.839977e-12    2.580710e-02     -1.456610e-01    4.658009e-01     -3.702429e-01    
4.677837e-01     8.248288e-02     4.750000e-01     1.000000e+01     4.972929e-01     3.779055e-01     2.676435e-02     1.481444e-01     -6.529030e-02    1.475291e-12     -4.904311e-01    5.700141e-13     -4.592873e-01    1.558528e-13     5.720315e-01     1.188367e-13     -6.444572e-01    1.078226e-13     -3.038601e+04    8.779016e-14     3.468286e-01     7.207155e-14     4.752461e-13     4.711009e-14     2.855128e+04     3.859447e-14     2.945301e+04     2.535539e-16     1.609852e-03     1.992565e-16     -2.945289e+04    -8.924591e-17    -1.609851e-03    -7.256697e-16    -2.855127e+04    -3.637810e-14    2.438408e-13     -8.279877e-14    3.038603e+04     -8.992513e-14    1.047885e+00     -1.670953e-13    1.698675e+00     -1.035263e-12    2.676435e-02     -1.481444e-01    4.972929e-01     -3.779055e-01    
4.924039e-01     8.682409e-02     5.000000e-01     1.000000e+01     5.291929e-01     3.854335e-01     2.765427e-02     1.497291e-01     -4.610987e-02    1.910739e-12     -6.444533e-01    4.755478e-13     -4.571738e-01    1.105624e-13     -5.160069e-01    8.072505e-14     1.135001e-13     6.251756e-14     3.038618e+04     3.365625e-14     2.855145e+04     1.934380e-15     2.945302e+04     2.643100e-16     -1.694573e-03    -5.046729e-16    1.694575e-03     -5.168869e-16    -2.945290e+04    -7.655445e-16    -2.855144e+04    -1.932817e-15    -3.038616e+04    -3.310676e-14    3.579191e-01     -7.131846e-14    8.824748e-14     -7.617519e-14    5.762841e-01     -9.983071e-14    1.736772e+00     -8.119948e-13    1.093883e+00     -9.973653e-13    2.765427e-02     -1.497291e-01    5.291929e-01     -3.854335e-01    
5.170241e-01     9.116529e-02     5.250000e-01     1.000000e+01     5.615027e-01     3.928399e-01     2.820278e-02     1.503535e-01     3.038633e+04     1.778811e-13     -5.430458e-01    1.649217e-13     -2.855161e+04    1.542190e-13     -1.691848e-14    1.298781e-13     3.681250e-01     1.120957e-13     5.808733e-01     9.396688e-14     -4.554016e-01    1.083632e-14     -1.779272e-03    3.582371e-15     2.945302e+04     4.002900e-16     1.779280e-03     -4.288323e-16    -2.945290e+04    -5.395321e-16    -6.235998e-14    -9.799646e-14    2.855162e+04     -1.586376e-13    -3.038631e+04    -1.731556e-13    -6.451780e-01    -2.341025e-13    -2.415050e-02    -1.022299e-12    1.139994e+00     -1.531437e-12    1.774922e+00     -1.633756e-12    2.820278e-02     -1.503535e-01    5.615027e-01     -3.928399e-01    
