Below are the first nkwall=min(nw,4*S+6)=22 solutions from BO, sorted by imag part, at 24-Dec-2020 22:26:50
kz[kn]           kx[kn]           k[kn]            theta[deg]       Re(omega1[wn])   Im(omega1[wn])   Re(omega2[wn])   Im(omega2[wn])   Re(omega3[wn])   Im(omega3[wn])   Re(omega4[wn])   Im(omega4[wn])   Re(omega5[wn])   Im(omega5[wn])   Re(omega6[wn])   Im(omega6[wn])   Re(omega7[wn])   Im(omega7[wn])   Re(omega8[wn])   Im(omega8[wn])   Re(omega9[wn])   Im(omega9[wn])   Re(omega10[wn])  Im(omega10[wn])  Re(omega11[wn])  Im(omega11[wn])  Re(omega12[wn])  Im(omega12[wn])  Re(omega13[wn])  Im(omega13[wn])  Re(omega14[wn])  Im(omega14[wn])  Re(omega15[wn])  Im(omega15[wn])  Re(omega16[wn])  Im(omega16[wn])  Re(omega17[wn])  Im(omega17[wn])  Re(omega18[wn])  Im(omega18[wn])  Re(omega19[wn])  Im(omega19[wn])  Re(omega20[wn])  Im(omega20[wn])  Re(omega21[wn])  Im(omega21[wn])  Re(omega22[wn])  Im(omega22[wn])  
2.954423e-01     5.209445e-02     3.000000e-01     1.000000e+01     2.859999e-01     3.199697e-01     2.267754e-02     1.160407e-01     2.441405e-01     2.879897e-06     -1.247945e-07    1.081706e-07     6.460233e-10     5.011222e-10     5.088723e-11     4.381798e-11     -6.144646e-14    9.339269e-14     3.840237e-13     2.692901e-14     1.504138e-15     1.831979e-16     -4.851791e-17    1.119587e-16     1.967761e-17     9.598485e-18     4.265569e-19     -2.281761e-21    -1.495699e-17    -1.389272e-17    -2.357142e-15    -1.141222e-15    3.716755e-15     -2.229616e-14    -1.582347e-13    -1.510554e-13    3.038522e+04     -3.372566e-11    2.855037e+04     -5.949940e-11    -3.038521e+04    -1.433192e-10    -2.855036e+04    -1.931485e-10    1.240829e-07     -1.086874e-07    -5.094114e-01    -5.035094e-07    
3.200625e-01     5.643566e-02     3.250000e-01     1.000000e+01     3.147282e-01     3.289696e-01     2.294396e-02     1.224102e-01     2.613297e-01     4.002786e-06     1.409262e-07     1.791866e-07     2.372136e-10     2.417844e-10     -3.005819e-13    3.480163e-13     -3.504092e-15    5.110456e-15     -7.807377e-16    1.030562e-15     1.284326e-17     1.489990e-17     1.691477e-19     -5.029500e-21    -3.102210e-17    -7.989353e-19    4.011284e-16     -8.057113e-16    3.010986e-14     -2.965540e-14    -1.481938e-14    -9.458895e-14    -2.633678e-13    -3.375070e-13    -7.387471e-12    -3.718415e-11    3.038532e+04     -5.864012e-11    2.855048e+04     -9.004430e-11    -3.038530e+04    -1.956750e-10    -2.855047e+04    -2.879641e-10    -1.411231e-07    -1.793961e-07    -6.713329e-01    -1.021177e-06    
3.446827e-01     6.077686e-02     3.500000e-01     1.000000e+01     3.439881e-01     3.376239e-01     2.325827e-02     1.281934e-01     -4.929986e-01    5.660148e-06     2.777478e-01     5.337025e-06     -1.464421e-07    1.817894e-07     5.561582e-01     2.411730e-09     -5.392456e-13    5.651646e-13     -1.330446e-13    2.490763e-14     -1.328833e-16    3.104748e-16     -4.923159e-18    6.657126e-18     -2.402354e-18    -1.172675e-18    1.299340e-17     -1.478606e-17    3.724433e-16     -4.036411e-16    -2.495000e-14    -5.651262e-15    6.054131e-14     -8.096112e-15    1.107969e-13     -2.484094e-14    4.016072e-11     -6.369139e-11    3.038542e+04     -1.036077e-10    2.855059e+04     -1.245675e-10    -3.038540e+04    -3.012366e-10    -2.855058e+04    -3.674333e-10    -2.911398e-10    -4.126966e-10    
3.693029e-01     6.511807e-02     3.750000e-01     1.000000e+01     3.737416e-01     3.460003e-01     2.367563e-02     1.333931e-01     2.933431e-01     6.842307e-06     -3.450441e-07    1.259662e-07     1.872920e-10     2.260127e-10     3.558214e-13     1.750387e-13     8.838610e-14     2.900328e-14     -1.216184e-16    5.081203e-16     3.863754e-17     4.247816e-17     -4.641010e-19    5.384257e-19     -5.097374e-17    -3.695134e-18    -1.034970e-17    -1.148455e-17    -1.919689e-15    -6.336985e-16    -1.343674e-13    -6.772120e-14    -1.352937e-13    -5.457331e-13    1.382989e-11     -1.070983e-11    3.038553e+04     -1.503982e-10    2.855071e+04     -1.897401e-10    -3.038551e+04    -4.143881e-10    -2.855070e+04    -5.184129e-10    3.447850e-07     -1.262589e-07    5.587277e-01     -3.928494e-07    
3.939231e-01     6.945927e-02     4.000000e-01     1.000000e+01     4.039581e-01     3.541486e-01     2.423716e-02     1.379943e-01     3.080727e-01     8.453310e-06     5.615371e-01     4.577922e-07     1.805249e-08     1.196910e-07     3.458542e-12     9.402826e-12     1.430292e-13     7.526180e-13     9.415089e-14     1.449642e-13     -2.480985e-13    2.762914e-14     1.068538e-15     3.832733e-15     -3.868600e-16    5.225131e-16     2.431217e-17     4.679464e-17     -8.297148e-19    -4.733547e-19    8.329876e-17     -1.071026e-17    4.124991e-17     -3.253915e-17    -1.107802e-12    -4.711457e-13    3.038564e+04     -2.005310e-10    2.855084e+04     -2.979575e-10    -3.038563e+04    -5.374679e-10    -2.855083e+04    -7.184450e-10    2.609702e-09     -3.487575e-09    -2.068598e-08    -1.162048e-07    
4.185433e-01     7.380048e-02     4.250000e-01     1.000000e+01     4.346136e-01     3.621050e-01     2.496370e-02     1.419577e-01     3.219050e-01     1.008014e-05     5.646677e-01     6.073644e-07     2.308760e-07     9.703420e-08     -1.185384e-11    1.423532e-10     8.438185e-14     4.835432e-13     1.875156e-13     2.131594e-13     6.426144e-14     9.249314e-14     -3.161607e-17    1.125713e-18     3.292440e-19     3.680700e-19     1.248907e-17     -8.727346e-18    1.538094e-17     -3.201544e-17    2.223553e-15     -2.712528e-16    6.893596e-16     -8.996803e-16    -4.100949e-13    -3.355144e-13    3.038577e+04     -2.840856e-10    2.855098e+04     -4.094696e-10    -1.067836e-10    -4.452265e-10    -3.038575e+04    -7.106355e-10    -2.855097e+04    -9.416165e-10    -2.307567e-07    -9.675616e-08    
4.431635e-01     7.814168e-02     4.500000e-01     1.000000e+01     4.656912e-01     3.698950e-01     2.584302e-02     1.452156e-01     3.348216e-01     1.161481e-05     5.681650e-01     3.921424e-07     3.922169e-07     1.017737e-07     1.660374e+00     2.311531e-08     -1.942177e-10    3.859572e-10     -1.161347e-11    6.260541e-11     5.030486e-15     2.883093e-13     -1.427970e-13    4.391855e-15     8.385652e-15     3.181068e-15     8.740973e-16     2.361543e-15     4.883637e-13     8.340855e-16     9.435950e-18     1.980209e-17     -2.362329e-20    -4.557038e-20    -2.564535e-18    -2.401318e-17    8.584003e-17     -1.219457e-16    1.873408e-13     -2.792204e-13    3.038590e+04     -3.817684e-10    2.855113e+04     -5.509855e-10    -3.038588e+04    -9.184930e-10    -2.855112e+04    -1.242230e-09    
4.677837e-01     8.248288e-02     4.750000e-01     1.000000e+01     4.971807e-01     3.775366e-01     2.680878e-02     1.476742e-01     3.468188e-01     1.294296e-05     1.698385e+00     9.280279e-07     1.771353e-07     1.930441e-07     5.720451e-01     5.830893e-08     2.964366e-11     4.867290e-11     -4.388343e-13    2.968482e-13     7.828218e-14     5.479907e-14     -5.268574e-15    1.452499e-14     -2.932523e-15    2.893708e-15     2.199629e-17     1.337615e-17     -2.566264e-18    1.336054e-17     -2.013401e-20    1.808325e-20     4.154087e-16     -3.179240e-16    5.034955e-14     -2.012279e-14    1.535382e-14     -4.825364e-13    -1.146990e-09    -4.340093e-12    3.038603e+04     -5.438643e-10    2.855128e+04     -7.346702e-10    -3.038601e+04    -1.199666e-09    -2.855127e+04    -1.573248e-09    
4.924039e-01     8.682409e-02     5.000000e-01     1.000000e+01     5.290786e-01     3.850439e-01     2.770923e-02     1.492303e-01     3.579071e-01     1.396278e-05     1.736452e+00     2.122963e-06     -6.137778e-07    9.121332e-08     -1.480293e-10    1.863193e-10     1.013585e-12     2.499993e-13     -3.616201e-13    9.436154e-14     -1.141871e-14    7.136220e-14     2.485769e-15     1.333494e-15     -5.431904e-17    1.279976e-16     -3.996463e-17    3.353859e-17     8.664714e-18     9.006142e-18     2.570550e-21     -2.336016e-20    -5.284872e-15    -2.709810e-15    2.873680e-13     -2.022848e-13    7.828200e-11     -1.223213e-10    3.038618e+04     -7.027699e-10    2.855145e+04     -9.791718e-10    -3.038616e+04    -1.510587e-09    -2.855144e+04    -2.018484e-09    6.137786e-07     -9.146129e-08    
5.170241e-01     9.116529e-02     5.250000e-01     1.000000e+01     5.613869e-01     3.924297e-01     2.826854e-02     1.498200e-01     3.681105e-01     1.459388e-05     -2.410596e-02    1.164157e-05     1.774570e+00     3.653005e-06     5.067454e-07     7.035817e-08     2.190932e-13     5.590093e-13     -6.128088e-13    1.519483e-13     -1.813785e-14    1.517846e-14     -5.328347e-16    2.081447e-15     3.183218e-17     2.668290e-17     -1.620326e-17    8.086205e-18     5.376712e-20     5.101698e-20     4.329981e-18     -1.848965e-17    3.863439e-15     -7.061883e-15    1.416391e-12     -1.059313e-13    2.997694e-11     -3.612072e-11    3.364260e-10     -2.779678e-10    3.038633e+04     -9.124160e-10    2.855162e+04     -1.281751e-09    -3.038631e+04    -1.890963e-09    -2.855161e+04    -2.528404e-09    
