k, Re(omega1), Im(omega1), Re(omega2), Im(omega2), ... [by BO]
+5.00000e-02 	+3.94850e-02 	+1.57990e-01 	+7.10759e-03 	+2.23175e-02 	+5.52072e-01 	-3.88418e-08 	
+7.50000e-02 	+6.03087e-02 	+1.89193e-01 	+1.03636e-02 	+3.33623e-02 	+5.53218e-01 	-1.74998e-07 	
+1.00000e-01 	+8.19492e-02 	+2.13629e-01 	+1.32829e-02 	+4.42494e-02 	+5.54579e-01 	-5.83021e-07 	
+1.25000e-01 	+1.04465e-01 	+2.33655e-01 	+1.57902e-02 	+5.48979e-02 	+5.56368e-01 	-1.72533e-06 	
+1.50000e-01 	+1.27891e-01 	+2.50567e-01 	+1.78443e-02 	+6.52147e-02 	+5.59058e-01 	-5.05935e-06 	
+1.75000e-01 	+1.52230e-01 	+2.65200e-01 	+1.94433e-02 	+7.51048e-02 	+5.63962e-01 	-1.61475e-05 	
+2.00000e-01 	+1.77454e-01 	+2.78141e-01 	+2.06239e-02 	+8.44845e-02 	+5.75312e-01 	-5.59312e-05 	
+2.25000e-01 	+2.03510e-01 	+2.89816e-01 	+2.14525e-02 	+9.32918e-02 	+6.01352e-01 	-1.34231e-04 	
+2.50000e-01 	+2.30332e-01 	+3.00538e-01 	+2.20125e-02 	+1.01491e-01 	+6.40124e-01 	-1.90779e-04 	
+2.75000e-01 	+2.57849e-01 	+3.10533e-01 	+2.23926e-02 	+1.09072e-01 	+6.83500e-01 	-2.26627e-04 	
+3.00000e-01 	+2.86000e-01 	+3.19970e-01 	+2.26775e-02 	+1.16041e-01 	+7.28299e-01 	-2.55461e-04 	
+3.25000e-01 	+3.14728e-01 	+3.28970e-01 	+2.29440e-02 	+1.22410e-01 	+7.73601e-01 	-2.81699e-04 	
+3.50000e-01 	+3.43988e-01 	+3.37624e-01 	+2.32583e-02 	+1.28193e-01 	+8.19107e-01 	-3.06759e-04 	
+3.75000e-01 	+3.73742e-01 	+3.46000e-01 	+2.36756e-02 	+1.33393e-01 	+8.64714e-01 	-3.31168e-04 	
+4.00000e-01 	+4.03958e-01 	+3.54149e-01 	+2.42372e-02 	+1.37994e-01 	+9.10389e-01 	-3.55154e-04 	
+4.25000e-01 	+4.34614e-01 	+3.62105e-01 	+2.49637e-02 	+1.41958e-01 	+9.56126e-01 	-3.78821e-04 	
+4.50000e-01 	+4.65691e-01 	+3.69895e-01 	+2.58430e-02 	+1.45216e-01 	+1.00198e+00 	-5.01246e-04 	
+4.75000e-01 	+4.97181e-01 	+3.77537e-01 	+2.68088e-02 	+1.47674e-01 	+1.04785e+00 	-4.25252e-04 	
+5.00000e-01 	+5.29079e-01 	+3.85044e-01 	+2.77092e-02 	+1.49230e-01 	+1.09384e+00 	-4.48066e-04 	
+5.25000e-01 	+5.61387e-01 	+3.92430e-01 	+2.82685e-02 	+1.49820e-01 	+1.13995e+00 	-4.70625e-04 	
+5.50000e-01 	+5.94111e-01 	+3.99708e-01 	+2.80676e-02 	+1.49531e-01 	+1.18618e+00 	-4.92914e-04 	
+5.75000e-01 	+6.27256e-01 	+4.06894e-01 	+2.66526e-02 	+1.48800e-01 	+1.23255e+00 	-5.14926e-04 	
+6.00000e-01 	+6.60827e-01 	+4.14008e-01 	+2.39516e-02 	+1.48469e-01 	+1.27908e+00 	-5.36655e-04 	
+6.25000e-01 	+6.94825e-01 	+4.21069e-01 	+2.06283e-02 	+1.49215e-01 	+1.32576e+00 	-5.58081e-04 	
+6.50000e-01 	+7.29248e-01 	+4.28096e-01 	+1.75094e-02 	+1.50947e-01 	+1.37262e+00 	-5.79193e-04 	
+6.75000e-01 	+7.64088e-01 	+4.35109e-01 	+1.49450e-02 	+1.53197e-01 	+1.41966e+00 	-5.99984e-04 	
+7.00000e-01 	+7.99335e-01 	+4.42123e-01 	+1.29267e-02 	+1.55601e-01 	+1.46690e+00 	-6.20437e-04 	
+7.25000e-01 	+8.34973e-01 	+4.49150e-01 	+1.13444e-02 	+1.57971e-01 	+1.51433e+00 	-6.40533e-04 	
+7.50000e-01 	+8.70987e-01 	+4.56199e-01 	+1.00896e-02 	+1.60224e-01 	+1.56198e+00 	-6.60264e-04 	
+7.75000e-01 	+9.07360e-01 	+4.63275e-01 	+9.07810e-03 	+1.62329e-01 	+1.60985e+00 	-6.79609e-04 	
+8.00000e-01 	+9.44073e-01 	+4.70377e-01 	+8.24855e-03 	+1.64281e-01 	+1.65794e+00 	-6.98557e-04 	
+8.25000e-01 	+9.81112e-01 	+4.77503e-01 	+7.55696e-03 	+1.66086e-01 	+1.70628e+00 	-7.17087e-04 	
+8.50000e-01 	+1.01846e+00 	+4.84650e-01 	+6.97174e-03 	+1.67753e-01 	+1.75485e+00 	-7.35183e-04 	
+8.75000e-01 	+1.05610e+00 	+4.91809e-01 	+6.46988e-03 	+1.69294e-01 	+1.80369e+00 	-7.52825e-04 	
+9.00000e-01 	+1.09403e+00 	+4.98972e-01 	+6.03447e-03 	+1.70719e-01 	+1.85278e+00 	-7.69993e-04 	
+9.25000e-01 	+1.13222e+00 	+5.06131e-01 	+5.65283e-03 	+1.72040e-01 	+1.90215e+00 	-7.86667e-04 	
+9.50000e-01 	+1.17068e+00 	+5.13275e-01 	+5.31536e-03 	+1.73267e-01 	+1.95180e+00 	-8.02823e-04 	
+9.75000e-01 	+1.20939e+00 	+5.20395e-01 	+5.01461e-03 	+1.74407e-01 	+2.00174e+00 	-8.18441e-04 	
