k, Re(omega1), Im(omega1), Re(omega2), Im(omega2), ... [by BO]
+1.00000e-02 	+2.26603e-01 	+6.47803e-02 	+2.26603e-01 	+6.47803e-02 	+1.22455e+00 	-1.35631e-02 	+9.09065e-02 	-4.40294e-02 	
+1.25000e-02 	+2.81482e-01 	+8.09688e-02 	+2.81482e-01 	+8.09688e-02 	+1.28373e+00 	-1.57892e-02 	+1.13669e-01 	-5.50613e-02 	
+1.50000e-02 	+3.35052e-01 	+9.68323e-02 	+3.35052e-01 	+9.68323e-02 	+1.34356e+00 	-1.72385e-02 	+1.36456e-01 	-6.61108e-02 	
+1.75000e-02 	+3.87051e-01 	+1.12020e-01 	+3.87051e-01 	+1.12020e-01 	+1.40378e+00 	-1.78696e-02 	+1.59271e-01 	-7.71824e-02 	
+2.00000e-02 	+4.37306e-01 	+1.26033e-01 	+4.37306e-01 	+1.26033e-01 	+1.46422e+00 	-1.76802e-02 	+1.82121e-01 	-8.82814e-02 	
+2.25000e-02 	+4.85793e-01 	+1.38251e-01 	+4.85793e-01 	+1.38251e-01 	+1.52474e+00 	-1.66874e-02 	+2.05009e-01 	-9.94138e-02 	
+2.50000e-02 	+5.32664e-01 	+1.47980e-01 	+5.32664e-01 	+1.47980e-01 	+1.58527e+00 	-1.49160e-02 	+2.27939e-01 	-1.10587e-01 	
+2.75000e-02 	+5.78243e-01 	+1.54472e-01 	+5.78243e-01 	+1.54472e-01 	+1.64574e+00 	-1.23903e-02 	+2.50917e-01 	-1.21808e-01 	
+3.00000e-02 	+6.23014e-01 	+1.56879e-01 	+6.23014e-01 	+1.56879e-01 	+1.70610e+00 	-9.12425e-03 	+2.73943e-01 	-1.33087e-01 	
+3.25000e-02 	+6.67674e-01 	+1.54094e-01 	+6.67674e-01 	+1.54094e-01 	+1.76623e+00 	-5.10842e-03 	+2.97021e-01 	-1.44436e-01 	
+3.50000e-02 	+7.13363e-01 	+1.44337e-01 	+7.13363e-01 	+1.44337e-01 	+1.82589e+00 	-4.50772e-04 	+3.20149e-01 	-1.55866e-01 	
+3.75000e-02 	+7.62682e-01 	+1.23832e-01 	+7.62682e-01 	+1.23832e-01 	+1.88497e+00 	+4.32777e-03 	+3.43336e-01 	-1.67383e-01 	
+4.00000e-02 	+8.30753e-01 	+7.95357e-02 	+8.30753e-01 	+7.95357e-02 	+1.94405e+00 	+8.82956e-03 	+3.66848e-01 	-1.79037e-01 	
+4.25000e-02 	+9.47108e-01 	+8.42845e-02 	+9.47108e-01 	+8.42845e-02 	+2.00376e+00 	+1.34716e-02 	+3.90440e-01 	-1.92822e-01 	
+4.50000e-02 	+1.02698e+00 	+1.03436e-01 	+1.02698e+00 	+1.03436e-01 	+2.06399e+00 	+1.89606e-02 	+4.07370e-01 	-2.07014e-01 	
+4.75000e-02 	+1.09969e+00 	+1.20705e-01 	+1.09969e+00 	+1.20705e-01 	+2.12415e+00 	+2.55188e-02 	+4.24496e-01 	-2.11245e-01 	
+5.00000e-02 	+1.16871e+00 	+1.37621e-01 	+1.16871e+00 	+1.37621e-01 	+2.18383e+00 	+3.29053e-02 	+4.45627e-01 	-2.11955e-01 	
+5.25000e-02 	+1.23494e+00 	+1.54289e-01 	+1.23494e+00 	+1.54289e-01 	+2.24290e+00 	+4.07981e-02 	+4.70894e-01 	-2.04504e-01 	
+5.50000e-02 	+1.29892e+00 	+1.70482e-01 	+1.29892e+00 	+1.70482e-01 	+2.30138e+00 	+4.89702e-02 	+5.12402e-01 	-1.88347e-01 	
+5.75000e-02 	+1.36113e+00 	+1.86011e-01 	+1.36113e+00 	+1.86011e-01 	+2.35932e+00 	+5.72829e-02 	+5.69745e-01 	-1.77839e-01 	
+6.00000e-02 	+1.42197e+00 	+2.00788e-01 	+1.42197e+00 	+2.00788e-01 	+2.41677e+00 	+6.56401e-02 	+6.38143e-01 	-1.83054e-01 	
+6.25000e-02 	+1.48171e+00 	+2.14781e-01 	+1.48171e+00 	+2.14781e-01 	+2.47371e+00 	+7.39553e-02 	+7.00425e-01 	-2.16554e-01 	
+6.50000e-02 	+1.54055e+00 	+2.27976e-01 	+1.54055e+00 	+2.27976e-01 	+2.53017e+00 	+8.21371e-02 	+7.46661e-01 	-2.54329e-01 	
+6.75000e-02 	+1.59863e+00 	+2.40354e-01 	+1.59863e+00 	+2.40354e-01 	+2.58612e+00 	+9.00839e-02 	+7.88236e-01 	-2.86239e-01 	
+7.00000e-02 	+1.65608e+00 	+2.51891e-01 	+1.65608e+00 	+2.51891e-01 	+2.64155e+00 	+9.76848e-02 	+8.29091e-01 	-3.10825e-01 	
+7.25000e-02 	+1.71301e+00 	+2.62563e-01 	+1.71301e+00 	+2.62563e-01 	+2.69646e+00 	+1.04823e-01 	+8.70857e-01 	-3.27809e-01 	
+7.50000e-02 	+1.76953e+00 	+2.72357e-01 	+1.76953e+00 	+2.72357e-01 	+2.75084e+00 	+1.11383e-01 	+9.15082e-01 	-3.37187e-01 	
+7.75000e-02 	+1.82571e+00 	+2.81276e-01 	+1.82571e+00 	+2.81276e-01 	+2.80467e+00 	+1.17254e-01 	+9.64088e-01 	-3.39355e-01 	
+8.00000e-02 	+1.88165e+00 	+2.89339e-01 	+1.88165e+00 	+2.89339e-01 	+2.85798e+00 	+1.22333e-01 	+1.02089e+00 	-3.35876e-01 	
+8.25000e-02 	+1.93738e+00 	+2.96576e-01 	+1.93738e+00 	+2.96576e-01 	+2.91077e+00 	+1.26531e-01 	+1.08759e+00 	-3.29918e-01 	
